"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 16 18:16:57 GMT 2021","Thu Dec 16 18:16:57 GMT 2021","4","","sticker.StickerApplicationTests","","sticker.StickerApplicationTests","contextLoads","contextLoads()","Test successful application startup"
"passed","Thu Dec 16 18:16:39 GMT 2021","Thu Dec 16 18:16:39 GMT 2021","132","","sticker.auth.AuthControllerTest","","sticker.auth.AuthControllerTest","testRegister_UserExists","testRegister_UserExists()","Fail to register existing username {username: 'user', 'password': 'user'}"
"passed","Thu Dec 16 18:16:56 GMT 2021","Thu Dec 16 18:16:56 GMT 2021","38","","sticker.controller.UserControllerTest","","sticker.controller.UserControllerTest","testCurrentUser_notSignedIn","testCurrentUser_notSignedIn()","Fail to get current user when unauthorized"
"passed","Thu Dec 16 18:16:39 GMT 2021","Thu Dec 16 18:16:40 GMT 2021","186","","sticker.auth.AuthControllerTest","","sticker.auth.AuthControllerTest","testSignIn_InvalidPassword","testSignIn_InvalidPassword()","Fail sign in with existing user and invalid password {username: 'user', 'password': 'not-password'}"
"passed","Thu Dec 16 18:16:56 GMT 2021","Thu Dec 16 18:16:56 GMT 2021","155","","sticker.controller.UserControllerTest","","sticker.controller.UserControllerTest","testCurrentUser","testCurrentUser()","Get current user with credentials {username: 'user', password: 'user'}"
"passed","Thu Dec 16 18:16:57 GMT 2021","Thu Dec 16 18:16:57 GMT 2021","17","","sticker.controller.PackControllerComponentTest","","sticker.controller.PackControllerComponentTest","testGetPackById","testGetPackById()",""
"passed","Thu Dec 16 18:16:57 GMT 2021","Thu Dec 16 18:16:57 GMT 2021","5","","sticker.controller.PackControllerComponentTest","","sticker.controller.PackControllerComponentTest","testGetPacks","testGetPacks()",""
"passed","Thu Dec 16 18:16:40 GMT 2021","Thu Dec 16 18:16:40 GMT 2021","92","","sticker.auth.AuthControllerTest","","sticker.auth.AuthControllerTest","testSignIn","testSignIn()","Sign in with {username: 'user', 'password': 'user'}"
"passed","Thu Dec 16 18:16:39 GMT 2021","Thu Dec 16 18:16:39 GMT 2021","327","","sticker.auth.AuthControllerTest","","sticker.auth.AuthControllerTest","testSignIn_UserDoesntExist","testSignIn_UserDoesntExist()","Fail sign in with non-existent user {username: 'no-user', 'password': 'user'}"
"passed","Thu Dec 16 18:16:39 GMT 2021","Thu Dec 16 18:16:39 GMT 2021","190","","sticker.auth.AuthControllerTest","","sticker.auth.AuthControllerTest","testRegister","testRegister()","Register new user {username: 'user2', 'password': 'user2'}"
