"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 18 14:23:20 GMT 2021","Sat Dec 18 14:23:21 GMT 2021","72","","sticker.controller.PackControllerComponentTest","","sticker.controller.PackControllerComponentTest","testGetPackById","testGetPackById()",""
"passed","Sat Dec 18 14:23:00 GMT 2021","Sat Dec 18 14:23:01 GMT 2021","101","","sticker.auth.AuthControllerTest","","sticker.auth.AuthControllerTest","testSignIn","testSignIn()","Sign in with {username: 'user', 'password': 'user'}"
"passed","Sat Dec 18 14:23:21 GMT 2021","Sat Dec 18 14:23:21 GMT 2021","9","","sticker.controller.PackControllerComponentTest","","sticker.controller.PackControllerComponentTest","testGetPacks","testGetPacks()",""
"passed","Sat Dec 18 14:23:19 GMT 2021","Sat Dec 18 14:23:19 GMT 2021","42","","sticker.controller.UserControllerTest","","sticker.controller.UserControllerTest","testCurrentUser_notSignedIn","testCurrentUser_notSignedIn()","Fail to get current user when unauthorized"
"passed","Sat Dec 18 14:22:59 GMT 2021","Sat Dec 18 14:23:00 GMT 2021","318","","sticker.auth.AuthControllerTest","","sticker.auth.AuthControllerTest","testSignIn_UserDoesntExist","testSignIn_UserDoesntExist()","Fail sign in with non-existent user {username: 'no-user', 'password': 'user'}"
"passed","Sat Dec 18 14:23:19 GMT 2021","Sat Dec 18 14:23:20 GMT 2021","166","","sticker.controller.UserControllerTest","","sticker.controller.UserControllerTest","testCurrentUser","testCurrentUser()","Get current user with credentials {username: 'user', password: 'user'}"
"passed","Sat Dec 18 14:23:00 GMT 2021","Sat Dec 18 14:23:00 GMT 2021","127","","sticker.auth.AuthControllerTest","","sticker.auth.AuthControllerTest","testRegister_UserExists","testRegister_UserExists()","Fail to register existing username {username: 'user', 'password': 'user'}"
"passed","Sat Dec 18 14:23:00 GMT 2021","Sat Dec 18 14:23:00 GMT 2021","217","","sticker.auth.AuthControllerTest","","sticker.auth.AuthControllerTest","testSignIn_InvalidPassword","testSignIn_InvalidPassword()","Fail sign in with existing user and invalid password {username: 'user', 'password': 'not-password'}"
"passed","Sat Dec 18 14:23:00 GMT 2021","Sat Dec 18 14:23:00 GMT 2021","233","","sticker.auth.AuthControllerTest","","sticker.auth.AuthControllerTest","testRegister","testRegister()","Register new user {username: 'user2', 'password': 'user2'}"
"passed","Sat Dec 18 14:23:21 GMT 2021","Sat Dec 18 14:23:21 GMT 2021","5","","sticker.StickerApplicationTests","","sticker.StickerApplicationTests","contextLoads","contextLoads()","Test successful application startup"
