"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 05 13:53:51 GMT 2021","Sun Dec 05 13:53:51 GMT 2021","109","","sticker.auth.AuthControllerTest","","sticker.auth.AuthControllerTest","testSignIn","testSignIn()","Sign in with {username: 'user', 'password': 'user'}"
"passed","Sun Dec 05 13:53:50 GMT 2021","Sun Dec 05 13:53:50 GMT 2021","175","","sticker.StickerApplicationTests","","sticker.StickerApplicationTests","contextLoads","contextLoads()","Test successful application startup"
"passed","Sun Dec 05 13:54:12 GMT 2021","Sun Dec 05 13:54:12 GMT 2021","157","","sticker.controller.UserControllerTest","","sticker.controller.UserControllerTest","testCurrentUser","testCurrentUser()","Get current user with credentials {username: 'user', password: 'user'}"
"passed","Sun Dec 05 13:53:51 GMT 2021","Sun Dec 05 13:53:51 GMT 2021","228","","sticker.auth.AuthControllerTest","","sticker.auth.AuthControllerTest","testSignIn_InvalidPassword","testSignIn_InvalidPassword()","Fail sign in with existing user and invalid password {username: 'user', 'password': 'not-password'}"
"passed","Sun Dec 05 13:54:13 GMT 2021","Sun Dec 05 13:54:13 GMT 2021","18","","sticker.controller.PackControllerComponentTest","","sticker.controller.PackControllerComponentTest","testGetPackById","testGetPackById()",""
"passed","Sun Dec 05 13:54:13 GMT 2021","Sun Dec 05 13:54:13 GMT 2021","6","","sticker.controller.PackControllerComponentTest","","sticker.controller.PackControllerComponentTest","testGetPacks","testGetPacks()",""
"passed","Sun Dec 05 13:54:12 GMT 2021","Sun Dec 05 13:54:12 GMT 2021","53","","sticker.controller.UserControllerTest","","sticker.controller.UserControllerTest","testCurrentUser_notSignedIn","testCurrentUser_notSignedIn()","Fail to get current user when unauthorized"
"passed","Sun Dec 05 13:53:50 GMT 2021","Sun Dec 05 13:53:50 GMT 2021","199","","sticker.auth.AuthControllerTest","","sticker.auth.AuthControllerTest","testSignIn_UserDoesntExist","testSignIn_UserDoesntExist()","Fail sign in with non-existent user {username: 'no-user', 'password': 'user'}"
"passed","Sun Dec 05 13:53:50 GMT 2021","Sun Dec 05 13:53:50 GMT 2021","142","","sticker.auth.AuthControllerTest","","sticker.auth.AuthControllerTest","testRegister_UserExists","testRegister_UserExists()","Fail to register existing username {username: 'user', 'password': 'user'}"
"passed","Sun Dec 05 13:53:50 GMT 2021","Sun Dec 05 13:53:51 GMT 2021","225","","sticker.auth.AuthControllerTest","","sticker.auth.AuthControllerTest","testRegister","testRegister()","Register new user {username: 'user2', 'password': 'user2'}"
